folder,markdown_count
Python/Interview Question/Stratascratch (Python)/Easy/Microsoft,2
Python/Interview Question/Stratascratch (Python)/Easy/Ring Central,2
Python/Interview Question/Stratascratch (Python)/Easy/Siemens,2
Python/Interview Question/Stratascratch (Python)/Easy/General Assembly,2
Python/Interview Question/Stratascratch (Python)/Easy/Expedia,2
Python/Interview Question/Stratascratch (Python)/Easy/Deloitte,2
Projects/Forage Documentation/BCG - Data Analysis Foundation,2
SQL Interview Prep/07-07-2025/EY,2
SQL Interview Prep/07-07-2025/Cognizant,2
Analyze/Me/Letters To Ani/A Few More Thoughts,2
Agile/バラスブラマニアン/Area/Old Data/Stop Tripping I am that Guy/Health/Ask myself,2
Projects/Data Engineering Projects/Projects/Binaryville/3. Bronze Layer Implementation/Create a Pipeline to Load Orders Data,1
Email Out Reach,1
Fabric Project,1
Google Advanced Data Analytics Professional Certification,1
SQL Interview Prep/Topics/Advanced SQL Concepts & Optimization,1
SQL Interview Prep/Topics/Aggregate Functions & Grouping,1
SQL Interview Prep/Topics/Introduction to SQL,1
SQL Interview Prep/Topics/Joins & Relationships,1
SQL Interview Prep/Topics/Subqueries & CTEs,1
Interview Question/Leet Code (SQL)/Chapter 11/11.2,1
